Unit,OutSet,UpdatedOutSet
r0 := @this: de.visuflow.analyzeMe.ex2.TargetClass2,[],[]
r1 = specialinvoke r0.<de.visuflow.analyzeMe.ex2.TargetClass2: java.lang.String getSecret()>(),[LOCAL r1],[LOCAL r1]
$r3 = new de.visuflow.analyzeMe.ex2.TargetClass2$Container,[LOCAL r1],[LOCAL r1]
"specialinvoke $r3.<de.visuflow.analyzeMe.ex2.TargetClass2$Container: void <init>(de.visuflow.analyzeMe.ex2.TargetClass2,de.visuflow.analyzeMe.ex2.TargetClass2$Container)>(r0, null)",[LOCAL r1],[LOCAL r1]
$r3.<de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField> = r1,"[LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]","[LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]"
"$r3.<de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String notTainted> = ""hello""","[LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]","[LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]"
$r4 = $r3.<de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String notTainted>,"[LOCAL $r4, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]","[LOCAL $r4, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]"
specialinvoke r0.<de.visuflow.analyzeMe.ex2.TargetClass2: void leak(java.lang.String)>($r4),"[LOCAL $r4, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]","[LOCAL $r4, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]"
$r6 = <java.lang.System: java.io.PrintStream out>,"[LOCAL $r4, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]","[LOCAL $r4, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]"
$r5 = $r3.<de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>,"[LOCAL $r4, LOCAL $r5, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]","[LOCAL $r4, LOCAL $r5, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]"
virtualinvoke $r6.<java.io.PrintStream: void println(java.lang.String)>($r5),"[LOCAL $r4, LOCAL $r5, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]","[LOCAL $r4, LOCAL $r5, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]"
return,"[LOCAL $r4, LOCAL $r5, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]","[LOCAL $r4, LOCAL $r5, LOCAL r1, FIELD <de.visuflow.analyzeMe.ex2.TargetClass2$Container: java.lang.String taintedField>]"
